concept_id,language_code,concept_international_description
2777138892,it,farmaco
2781246285,gl,composto químico
560292,ar,مصطلح اقتصادي
2776748962,da,kemisk forbindelse
2778477765,ast,compuestu químicu
2778977261,es,"biomolécula compuesta por carbono, hidrógeno y oxígeno"
22958824,ru,"Вариант трансформатора, в котором первичная и вторичная обмотки соединены напрямую."
2780514615,zh-mo,化合物
71110296,ar,مصطلح اقتصادي مالي
2778581513,it,è una tecnica non invasiva.
3020665142,en,Metalworking technique where metal is shaped while at room temperature
3020493615,hu,pszichiátriai megbetegedés
2780161600,ckb,ئاوێتەی کیمیایی
2781004633,ca,compost químic
2779379073,fa,(চট্টোপাধ্যায়) نام خانوادگی
105988610,it,struttura dei funghi che sostiene il cappello
2777742743,de-ch,chemische Verbindung
2776392049,ar,مركب كيميائي
2777366695,de,vollständige Gelenksteife
30087350,en,non-fixed interest rate over the term of a debt
2780418270,scn,cumpostu chìmicu
2778144076,zh-mo,化合物
2776319035,de,Art der Gattung Hymenolepis
2993997175,pt,sentimento angustiante
33825631,he,משפט בהסתברות
2777886399,af,chemiese verbinding
2777406300,ro,compus chimic
2911072751,nn,lysstråling som er skapt av andre prosessar enn varmestråling
13646594,it,Figura retorica
3019108941,gl,período que transcorre entre a implantación no útero do óvulo fecundado e o momento do parto
177219330,de,globales Navigationssatellitensystem
2776761581,tg-cyrl,пайвастагии химиявӣ
2778953665,gl,composto químico
2780051471,ml,രാസസം‌യുക്തം
2778394429,en,class of enzymes
2778984995,af,chemiese verbinding
2780948584,he,תרכובת
2778783286,de,Art von sozialer Ungleichheit
2991986269,ca,conjunt de reaccions bioquímiques i processos fisicoquímics que passen en una cèl·lula o un organisme
2776451764,lb,cheemesch Verbindung
2778063965,cs,svalové onemocnění
2992019943,zh-hans,提供医疗服务的机构
2776011334,en,chemical compound
2777606763,en-ca,chemical compound
2908924393,nn,insektart
2776610495,pt,gene da espécie Homo sapiens
143191323,de,gibt die Anzahl der meist paarigen Chromosomensätze in einer Zelle an
2776460118,es,compuesto orgánico
2777552763,ru,химическое соединение
2985799443,pl,strona ujednoznaczniająca w projekcie Wikimedia
2777327002,es,articulaciones fijas entre los huesos que se mantienen unidos por un tejido denso y fibroso
2778439243,ca,compost químic
2779388314,scn,lingua austrunisiana chi si parra ntê Filippini
175470498,it,concezione del desiderabile distintiva di un individuo o di un gruppo
2778236110,nn,kjemisk sambinding
2776166849,io,kemiala kompozajo
2781463953,pt,página de desambiguação de um projeto da Wikimedia
2909598534,de-ch,Wikimedia-Begriffsklärungsseite
2992152733,nan,Wikimedia khu-pia̍t-ia̍h
2993183510,hu,"kémiai elem, rendszáma 8, vegyjele O"
2910183285,ar,محلول ملحي لأغراض طبية.
2776280803,he,תרכובת
2781227287,it,composto chimico
2779385240,it,persona che intraprende un viaggio per fini religiosi (spesso lungo una via di pellegrinaggio)
2992886853,an,pachina de desambigación
2910430321,el,"σπάνια και χρόνια μεταπλασική ασθένεια, στην οποία ο χόνδρος των αρθρώσεων σχηματίζει συνοβιακές μεμβράνες"
132215199,yo,ojúewé ìṣojútùú Wikimedia
2780107210,hy,քիմիական միացություն
2777688143,zh,人、动物或植物不能通过自然方式繁殖，即没有避孕技术的干预
2776090121,ms,sel limfosit
2776174506,jv,Kelainan mental
2779458865,ar,جين من أنواع جينات الإنسان العاقل
3020423824,hi,"वह व्यक्ति जो दूसरों को ज्ञान, योग्यता या मूल्य प्राप्त करने में मदद करता है"
2778247072,ro,compus chimic
2779825395,nb,art av rundormer
2777435628,pt,composto químico
2910815756,et,keemiline element järjekorranumbriga 74
198571295,ru,"радиоактивные химические элементы, расположенные в периодической системе элементов за ураном, то есть с атомным номером выше 92"
19694890,es,partícula subatómica formada por quarks
2777505466,en-gb,chemical compound
2908678361,cy,tudalen wahaniaethu Wikimedia
2910054578,eo,kemia kombinaĵo
2776451764,en-ca,chemical compound
2781315423,uk,хімічна сполука
2779697334,zh,大眾運輸系統
2779706987,de,"organische Verbindung, Arzneistoff aus der Gruppe der Benzodiazepine"
2781354927,nl,dode Semitische taal
2779073678,an,compuesto quimico
2780946745,en-gb,chemical compound
199083928,nn,kjemisk sambinding
2780274859,cy,cyfansoddyn cemegol
71405471,ta,quality system
2780228044,ru,"раздел лингвистики, изучающий устойчивые речевые обороты и выражения — фразеологические единицы"
2780122547,zh-hk,化合物
2910317400,ar,مركب كيميائي
3017965124,as,ৱিকিমিডিয়া দ্ব্যৰ্থতা দূৰীকৰণ পৃষ্ঠা
2779741180,zh-hans,维基媒体列表条目
2780708616,zh,記錄歷史的一種方式
106363011,nl,gen van de soort Homo sapiens
2779033419,sv,"feminin avkomma, flicka eller kvinna i förhållande till sina föräldrar"
2776117458,ast,especie de guxán
2777572318,hy,քիմիական միացություն
131793682,nb,kjemisk forbindelse
2984423262,ru,"совокупность письменных трудов, которые созданы в результате исследований, теоретических обобщений, сделанных в рамках научного метода"
2778330098,kn,ಸಸ್ತನಿ
2776612079,en,common soil bacterium and the causative agent of tetanus
3020114046,ast,deporte de contactu con balón
2780585440,ia,composito chimic
170240278,sv,Genen från arten Homo sapiens
2780927105,pl,związek chemiczny
2992878202,id,air beku dan menjadi padat
2776381716,an,compuesto quimico
165150564,es,área de las matemáticas
2777214652,kn,ದ್ವಂದ್ವ ನಿವಾರಣೆ
2777067796,it,composto chimico
175749648,en,"particle with no physical extent, either an idealization or a feature of elementary particles"
2778977604,ml,രാസസം‌യുക്തം
2779027399,ru,отсутствие света
2776915459,la,compositum chemicum
134484671,fi,kemiallinen yhdiste
2987759513,fr,Appareil de télédétection par écholocation d'ondes électromagnétiques allant du millimètre au spectre radio
2780859203,hy,քիմիական միացություն
2776112240,ar,جنس من الأسماك
2780884517,es,célula del tejido nervioso
2781218421,fa,یک سامانه برای تعیین میزان خوشنامی یک کالا یا خدمت و یا هر ماهیتی بر اثر قضاوت مخاطبان آن ماهیت می باشد.  سامانه تعیین خوشنامی به وسیله الگوریتم‌های خاص خودش  نظرات مخاطبان را گردآوری نموده و سپس رأی نهایی در ورود میزان خوشنامی آن را صادر می کند.
118178180,es,agua con salinidad entre el agua dulce y del mar
38262639,pt,momento em que o Sol aparece no horizonte
2780625559,es,proceso de introducir al comercio un nuevo producto o método de producción
2777926168,fi,Hapettamattomista teelehdistä hauduttamalla valmistettu juoma
2909880533,eu,"Koleopteroen ordenako zenbait intsektuz esaten da. Txikiak edo ertainak dira. Emeek ez dute hegorik, baina organo lumineszenteak dituzte. Larbak karniboroak dira. Bere barnean ipurtargia hartzen duen Lampyridae familia osatzen dute."
2779663748,ca,tipus d'hematoma
2780868729,nl,"aandoening door een bloedstolsel, die gevormd is in een bloedvat"
2910482912,ar,مركب كيميائي
2779272887,en,A dye for synthetic polymers
2992869663,ca,professional que practica la medicina
2988327813,ku,Di rêza kronolojîk de nimandina lîsteyeka bûyeran
2985946229,ca,selecció de punts d'un conjunt de dades en estadística
2910070530,fr,médicament
2778901449,zh-hans,化合物
2778081389,it,breve narrazione in prosa
2781025020,it,farmaco
3020154045,eu,ogi mota
2776560457,de,Bodenbearbeitungsgerät
2910351856,ku,sê perdeyên ko demax û dirkepetikê dorpêç dikin
2779117320,en,species of virus
2777097416,la,compositum chemicum
2909880533,gl,familia de coleópteros
2780499067,oc,component quimic
2779456560,ka,ნატურალური რიცხვი
2909280317,de-at,bösartiger Tumor der Brustdrüse des Menschen
2778948405,cy,cyfansoddyn cemegol
2909577894,gl,composto químico
2993995501,mr,निःसंदिग्धीकरण पाने
2779887276,zh-cn,化合物
2778843634,sq,proteinë
2777317207,gl,composto químico
75923793,ru,философия Айн Рэнд
2776269092,gsw,Wikimedia-Begriffsklärigssite
2776696415,en,"measure of achievement, fairness, and opportunity in education"
2780652884,af,chemiese verbinding
2779591255,be,хімічнае злучэнне
3019338163,nn,meltingsorgan
2992915469,ast,división primaria de la ciencia
2778588143,de,Pyridinolin
2781028839,de,Familie der Ordnung Rhizobiales
2781450507,de,chemische Verbindung
2992909513,jv,"aran lumrah kanggo Homo sapiens, spésiès-spésiès jroning génus Homo"
2777457247,oc,component quimic
2777247709,be,хімічнае злучэнне
2777874068,sk,chemická zlúčenina
2778081126,cs,chemická sloučenina
2780321935,mk,хемиско соединение
2988270110,en,modern form of farming
2780259306,el,χημική ένωση
100800780,en,digital circuit that manages the flow of data going to and from the computer's main memory
3020509738,uk,"особа, яка користується медичними послугами"
2777239149,el,χημική ένωση
2779815518,ast,xéneru de reptiles
2779787640,de,Langzeittherapie von Allergien
47751775,it,mandato della Società delle Nazioni (1920-1948)
2781132042,cs,chemická sloučenina
2776536667,de,Krankheit
2776907736,it,farmaco
2908525314,id,protein
2993056060,lb,cheemesch Verbindung
189178095,tg-cyrl,саҳифаи маъноҳои Викимедиа
2991681803,fr,type de relation humaine impliquant une intimité physique ou émotionnelle
2776610510,de,Fettgewebe im Kniegelenk
2778564042,en,medical device that uses electrical impulses to regulate the beating of the heart
2776539811,pt,composto químico
2779607525,sv,kemisk förening
2779567914,sk,všeobecný názov pre rôzne druhy dopravných zariadení
2780385392,hi,"उच्च कार्बन सामग्री और कुछ अशुद्धियों के साथ ग्रे, कठोर और छिद्रपूर्ण ईंधन"
201064014,eo,"grupo generebla de elementoj kun la rilatoj de la formo stst…= tsts…, kies ambaŭ flankoj estas samlongaj, tia ke ekzistas maksimume 1 rilato pri ĉiu paro de malsamaj generantoj s, t"
31057834,zh,含有超過兩個手性碳原子但沒有旋光性的化合物
2781061982,ast,xéneru de plantes
49736848,de,"System, das die Unterbrechung eines Lichtstrahls erkennt und als elektrisches Signal anzeigt"
2779093498,sq,gjen i llojit Homo sapiens
2777185600,ro,familie de plante
2776240431,nn,planteslekt
165730261,en,concept of the sovereignty of nation-states in Europe
2780113650,nn,kjemisk sambinding
185592680,ckb,زانستێكە بایەخ بە پێكھاتە و ڕەوشت و شێوگ و گۆڕانەكانی ماددە دەدات.
99742106,en,theorem
2778549646,io,genero di moluski
2778825724,tt,Мәгънәләр бите Викимедиа проектында
2780196523,en,surgical removal of penis
2777252815,af,chemiese verbinding
88417058,es,propulsión espacial
3018781457,sl,seznam Wikimedije
3019064422,fi,täsmennyssivu
2779262571,zh,化合物
3017697588,he,בדיקה רפואית
37113945,pt,gene da espécie Homo sapiens
43363307,en,experimental memory device
2910288590,de,Herzkammer
36006759,en,galaxy morphology classification
156576523,en,technology that involves the reactions of atomic nuclei
2780081974,eu,konposatu kimiko
2780744904,es,compuesto químico
2778713356,nb,enzym
2777631239,fi,hyönteisheimo
2775967908,it,"insieme di valori, idee, metafore, credenze e pratiche condivise tra i membri di gruppi sociali e comunità"
1491633281,zh-hans,生物学中构成生物体的基本单位
2776466888,pl,związek chemiczny
167221231,sk,programovací jazyk
2909265136,smn,ihe
2777485300,ca,pàgina de desambiguació de Wikimedia
2993788577,ro,specie de plante
2909791563,tg,саҳифаи маъноҳои Викимедиа
2987370644,tg,саҳифаи маъноҳои Викимедиа
2780587734,de-ch,Wikimedia-Begriffsklärungsseite
120095434,fi,lintujen höyhenpeitteen uusiutuminen
2991726083,sv,maskin som bearbetar data och utför beräkningar
2776788019,nl,eiwitfamilie met een domein
2781056559,an,compuesto quimico
510870499,ro,limbaj de programare
2994197053,bn,উইকিমিডিয়ার দ্ব্যর্থতা নিরসন পাতা
522562087,lv,Wikimedia projekta kategorija
3020454867,tt,Мәгънәләр бите Викимедиа проектында
74149592,eu,Wikimediako zerrenda artikulua
2781148688,nl,chemische verbinding
2775894120,fr,composé organique
2780679280,hy,քիմիական միացություն
2780758401,en,carbohydrate-binding protein
2780783166,nl,gemoedstoestand
2781466915,de,chemische Verbindung
2777064678,fi,kemiallinen yhdiste
3020594445,he,שלב השירות הראשון בצבא
2778537129,pt,composto químico
2992860105,pt,página de desambiguação de um projeto da Wikimedia
2777606159,fr,composé chimique
140752511,eo,konstruo en teorio de grafoj
2780016085,uk,хімічна сполука
115719804,pt,camada de ozonio
2993750592,gu,સ્પષ્ટતા પાનું
2778885487,an,compuesto quimico
2778763365,zh-hans,维基媒体消歧义页
18918823,vec,union de fenomani rełasionai co'l movimento tenporałe de łe persone par varie motivasion
44064316,nl,biologisch proces
143874112,pnb,template وکیپیڈیا
2776674678,ja,粉状または細粒状にした石炭
2778126366,en-gb,when people are without work and actively seeking work
142932270,en-ca,"study, evaluation, and interpretation of literature"
2779578568,bn,কীটপতঙ্গের প্রজাতি
2778067643,gl,artigo de listas da Wikimedia
189201455,ja,海洋で発生する波のうち波の高さ（波高）が特に大きい特殊な波
170595211,pl,zmiana miejsca zamieszkania na stałe lub tymczasowo
2778722691,fr,composé chimique
2780452071,es,compuesto químico
2993400877,cs,družstvo některého typu fotbalu
2778399782,en,process of synapse elimination that occurs between early childhood and the onset of puberty
2780124434,gu,સ્પષ્ટતા પાનું
2776704483,be,хімічнае злучэнне
2780042274,ca,compost químic
2781136998,eu,"Dikotiledoneoen klaseko zenbait landare belarkara edo muluz esaten da. Hostoak sakabanatuta hazten dira, eta loreak infloreszentzia konplexutan elkartuta. Bere barnean uztaoak hartzen dituen Polygonaceae familia osatzen dute"
2778046504,zh-tw,化合物
2778893926,id,protein
2992840811,fy,Wikimedia-betsjuttingsside
102336505,eo,kemia reakcio difektanta betonon
2775972016,ar,جنس من الحشرات
2775960407,ast,especie de fungu
2779611823,io,kemiala kompozajo
511355011,cs,lidská nemoc
2780298326,pl,związek chemiczny
204983608,ja,経済学で生産活動に対する生産要素の寄与度、あるいは、資源から付加価値を産み出す際の効率の程度
115710402,en,Theorem in physics
2780785647,ru,шаблон проекта Викимедиа
2777293324,de,der Wahrheit und Wirklichkeit verbunden
2777676313,de-ch,chemische Verbindung
2778707968,gl,composto químico
2910200283,sv,"vetenskap om beteenden, tankar och känslor"
2779422266,eu,konposatu kimiko
142757262,sv,fysikaliskt fenomen
125041420,hu,számítógépes tárolóeszközök
2776527531,nn,iransk språk
2781384534,fr,récit sur la vie de Jésus
3019885731,ro,pagină de dezambiguizare Wikimedia
2985583900,af,Wikimedia dubbelsinnigheidsblad
2780303067,en-gb,chemical compound
186720457,cs,ústředí integrované psychické činnosti živé bytosti
2776719499,eo,kemia kombinaĵo
3019123031,zh-mo,維基媒體列表條目
3018878966,ca,espècie de planta
2777242621,an,compuesto quimico
2779851112,lb,cheemesch Verbindung
2908941940,or,ମାନବ ରୋଗ
190883126,it,linguaggio di programmazione
2776551942,sv,familj av fiskar
2780584575,pt-br,composto químico
2777404646,id,"mempertimbangkan kesimetrian benda-benda matematika atau fisik, ketika objek-objek itu hanya menerima transformasi pelestarian struktur dalam jumlah hingga"
2706078,uk,вивчення соціальних причин та наслідків різних економічних явищ
2909601795,ar,مرض من الأمراض
2993506467,ta,விக்கிப்பீடியா:பட்டியலிடல்
2780912031,es,compuesto químico
3020782925,zh-hans,维基媒体消歧义页
2778998842,hi,पेड़ की प्रजाति
2778194941,fr,Réaction chimique avec gonflement endommageant le béton
2910293678,en-ca,chemical compound
106214006,en,functional relationship F between some input x and output y such that y=g(x) and g is Lipschitz in a neighbourhood of every x
2781039906,nl,chemische verbinding
2778333957,it,cibi per il nutrimento di bambini dai sei ai ventiquattro mesi
2776246392,la,compositum chemicum
2992886853,ja,ウィキメディアの曖昧さ回避ページ
2994342964,sv,toxin
2777612184,bn,উদ্ভিদের গণ
125411270,en,memory process
2987370644,gl,páxina de homónimos de Wikimedia
2780374932,en-gb,chemical compound
2992163063,nl,het onrechtmatig onderscheid maken tussen mensen of groepen
2781053850,fr,temps nécessaire à l'endormissement
2908982167,ast,especie de mamíferu
134463574,en,Asymmetric sigmoid function
2780849931,el,σελίδα αποσαφήνισης εγχειρημάτων Wikimedia
2781121862,sd,ترڪ ٻولي ترڪي ۾ گھڻو تڻو ڳالھائي ۽ استعمال ڪئي ويندڙ
2777213191,cy,cyfansoddyn cemegol
2776864781,hr,razdvojbena stranica na Wikimediji
2993921832,zh,维基媒体消歧义页
2780548744,lv,ķīmisks savienojums
2777774347,pt,fenômeno climático
2987677221,my,အီလက်ထရွန်းနစ် ငွေပေးချေစနစ်
2777538456,scn,cumpostu chìmicu
2778308172,da,kemisk forbindelse
2910800504,en,TAPVC
2780554211,en,femur bone
2777118369,pl,mieszanina racemiczna
2776313836,th,โรคทางความคิดโดยรูปแบบหรือกระบวนการ
95200732,es,rama de la astrofísica
2776622310,ca,compost químic
2776176469,zh-my,维基媒体消歧义页
2991842281,es,página de desambiguación de Wikimedia
2778154381,li,Wikimedia-verdudelikingspazjena
2781227287,nb,kjemisk forbindelse
2780077769,ml,രാസസം‌യുക്തം
3020135677,az,"cüt üzvlərdən olub kiçik çanaq, uşaqlığın yan tərəflərində, enli bağın arxasında yerləşmişdir"
2780933643,el,δομή σχεδιασμένη για την υποστήριξη εδάφους σε πλαγιές με μεγάλη κλίση
45184978,es,elección en la cual los votantes bajo una jurisdicción seleccionan al candidato o candidata que un partido presentará a una elección pública posterior
2779901982,es,jerga de registro coloquial e informal usada en el idioma inglés
2780703968,pt,Observatório
2780952559,sr,процес смањивања димензија чврстог комада
2776235749,bn,রাসায়নিক যৌগ
2910188402,ja,一本鎖プラス鎖RNAウイルスの一つ
100991257,tt-cyrl,хәрәкәт иткән рәсемнәрне берләштергән кеше эшчәнлеге төре
2781419769,de,Verhältnis
2779327853,eu,konposatu kimiko
2778951431,cs,chemická sloučenina
2779563543,uk,хімічна сполука
2909823619,it,"riduzione dell'orifizio valvolare mitralico del cuore, causata a volte da un processo infiammatorio che colpisce i lembi valvolari od il loro apparato di sostegno, talora invece da processi degenerativi"
2776369090,zh-mo,化合物
138171918,he,דלק נוזלי
135397884,uk,набір характеристик продукції або правил виконання процесів
178639896,en,subset of computer security
2776992364,ru,семейство насекомых
2777746085,ms,Laman nyahkekaburan
2781282975,ca,article de llista de Wikimedia
2779431925,nl,familie van insecten uit de orde kevers
2780859203,he,תרכובת
54143909,en,protein-coding gene in the species Homo sapiens
2778611284,bg,род бозайници
2781048585,en,pedagogical framework grounded in feminist theory
2780724051,it,tumore benigno
2778660952,nl,stam uit het domein Archaea
20253421,en,a type of nonverbal communication in which physical behavior is used to express or convey
158453852,tl,Wikimedia:Paglilinaw
2777159539,he,תרכובת
3020230634,ko,박테리아 감염을 예방하고 치료하는 물질
115168132,bn,পরিগণক যন্ত্রের কেন্দ্রীয় প্রক্রিয়াজাতকরণ অংশ দ্বারা সরাসরি নির্বাহিত সাংকেতিক নির্দেশাবলী
3018451901,sco,Wikimedia disambiguation page
5968703,tr,örneğin ilişkisel gibi bir veri tabanı modelinin genel yapısı (türü)
2780420665,en-gb,chemical compound
180872759,sv,två eller flera människor som interagerar med varandra
2777056410,he,תרכובת
2776588112,en,type of adjustable-speed drive
124681953,ja,有機物が微生物の作用によって有害に変化する現象
2776617377,fr,composé chimique
163861444,fr,seconde couche de l'atmosphère terrestre
62908951,en,government of a nation-state
2909759153,vi,nhiễm trùng lây qua đường tình dục do vi khuẩn Chlamydia trachomatis gây ra.
39549134,ca,gestió de la comunicació pública de les organitzacions
2778949310,ru,химическое соединение
2776820632,zh-sg,维基媒体消歧义页
2777390192,ru,"состояние организма, при котором температура тела падает ниже, чем требуется для поддержания нормального функционирования"
2778811784,da,hjernevinding
2778283623,nl,gen van de soort Homo sapiens
2780311995,id,senyawa kimia
523419034,sv,litterär huvudgenre
2777530519,he,תרכובת
27592594,en,thermodynamic potential
171460291,fr,"pouvoir de décision de l'administration, dans le respect des lois, en fonction d'une appréciation d'opportunité"
2992820272,es,aumento relativo en la longitud de onda en el espectro de emisión de objetos astronómicos
68827188,eu,Funtzio trigonometriko baten alderantzizkoa den funtzioa. Dagokion funtzio trigonometrikoaren izenaren aurretik arku hitza eta haren ikurraren aurretik arc ikurra jarrita adierazten dira.
2781336494,en,antibiotic used to treat MRSA
2983189667,de,erfolgreiche Verwendung von Erfindungen
2983704927,zh-hans,透过思想与信息交流的资讯传送方式
2776264508,en-ca,chemical compound
20291555,de,Gen der Spezies Homo sapiens
2992385100,fr,événement de diffusion de films
2776464317,an,compuesto quimico
2778256703,gl,composto químico
2780514615,uk,хімічна сполука
97082442,my,စီမံခန့္ခြဲမူအေၾကာင္း
2777702071,nn,kjemisk sambinding
2780751777,pt,composto químico
99634282,pt,forma bilinear simétrica invariante definida sobre uma álgebra de Lie; traço da composição de duas representações adjuntas
2780447027,sq,komponim kimik
2993506467,zh-hant,維基媒體列表條目
2991912374,vi,trang định hướng Wikimedia
80444323,ja,計算機を理論的に研究する学問
3017601658,fi,digitaalisten tai filmikuvien muokkaus
182407805,eu,"Kate baten zatia. Adibidez, katea a1, a2,...an bada, azpikatea ai, ai+1,...aj izango litzateke; 1 (txikiago edo berdin) i (txikiago edo berdin) j (txikiago edo berdin) n izanik"
3020469904,cdo,sié-gái gà̤-dēng ìng-kēu có̤i sâ̤ gì siŏh ciáh mìng-cŭk
134056017,uk,галузь хімії
2776858108,nl,cluster van sterrenstelsels in sterrenbeeld Hoofdhaar
2780672762,ar,مرض يصيب الإنسان
76591681,fr,gène de l'espèce Homo sapiens
2993743986,nb,Lagidrett som foregår på en isbelagt bane. Spillerne bruker køller og skøyter.
2777829905,en,chemical compound
2780108899,id,senyawa kimia
2778705729,nb,slekt av karpefisker
98893333,tr,kavramlar arasındaki yazışmaları belirleme süreci
2910474132,nn,minimalt invasiv prosedyre for å fjerne eller øydelegge ein mangelfull elektrisk leiingsbane i hjartet
2780325035,ar,فصيلة من المفصليات
558299567,id,teknologi media yang ditujukan untuk mencapai banyak pemirsa dengan komunikasi massa
75699723,hu,filozófiai és gyakorlat-alapú világnézet és vallás
2780467534,en-ca,species of Tubulinea
37589322,fr,état de la matière formé de bosons identiques tel qu'un grand nombre d'entre eux occupent un unique état quantique
2781169733,eu,Sodio-zeolita
2779256853,zh-hk,化合物
2777821550,bg,химично съединение
82240120,pl,"funkcja matematyczna, uogólnienie silni"
2778368647,ro,domeniu dens locuit și construit spre deosebire de zona rurală
154775046,fa,یکی از زبان‌های ژرمنی که زیرشاخه‌ای از زبان‌های هندواروپایی می‌باشد.
2911222091,el,χημική ένωση
2779202280,nl,infraklasse uit de superorde Heterobranchia
2778606127,he,מין של צמח
2779564476,pt,espécie de inseto
2911038130,de,Unterfunktion der Nebennierenrinde
2776946247,pt-br,composto químico
148863701,ilo,nakatiponan dagiti ammo wenno pannakaammo ti tattao
184048983,ar,منظمة
2781098529,gl,composto químico
2994225426,ru,один из двух общих видов всемирно признанных прав человека
2776645570,en,species of bacterium
2781466915,sk,chemická zlúčenina
522721590,ru,класс водорослей
48580701,en,Romance language
75011936,zh,规范私权关系的法律
2780047049,ast,compuestu químicu
2909638485,it,malattia
2779960720,nn,utførselsgang for bukspytt frå bukspyttkjertelen til hovudgallegangen
2778460671,en-ca,chemical compound
2992800306,nl,bestuursvorm waarin de wil van het volk de bron is van legitieme machtsuitoefening
2777761686,zh,一种白细胞 免疫系統其中一環，位於淋巴管中
45586990,nb,Apparat til måling av farvetetthet eller svertningsgrad
147176958,pl,dyscyplina nauk kształtująca powierzchnię Ziemi pod potrzeby egzystencji człowieka
2779616306,tt-cyrl,Викимедиа проектындагы мәгънәләр бите
2778903070,zh,化合物
3017614220,tl,Pag-aaral o pagkatuto kung saan ang kaalaman at kakayahan ay naipapasa sa pamamagitan ng pagtuturo
2777264276,ca,compost químic
2781053281,hu,nyelv
2775920511,pt,composto químico
2776436638,oc,component quimic
2780179696,nl,geslacht
2781307776,hu,növényfaj
2778824757,en,chemical compound
142038384,ar,مصطلح اقتصادي الأعمال
188058453,es,conjunto de compuestos electrónicos interconectados
89805583,pt,instrumento de medição
2780230665,et,keemiline ühend
111936080,it,amplificatore
2781160685,ar,مركب كيميائي
2777976051,af,chemiese verbinding
